ep_num,title,air_date,subject,ticker,parent,status,source_note
101,Virgin Galactic,2020-11-22,Virgin Galactic,SPCE,,public,"S7E6; https://www.acquired.fm/episodes/virgin-galactic; Virgin Galactic publicly traded via SPAC merger since Oct 2019, ticker SPCE"
102,DoorDash,2020-12-09,DoorDash,DASH,,public,"S7E7; https://www.acquired.fm/episodes/doordash; DoorDash IPO'd and began trading 2020-12-09, same as air date"
103,Airbnb,2020-12-10,Airbnb,ABNB,,public,"S7E8; https://www.acquired.fm/episodes/airbnb; Airbnb IPO'd and began trading 2020-12-10, same as air date"
104,Bitcoin,2021-01-18,,,,skipped,"S8E1; https://www.acquired.fm/episodes/bitcoin; episode is about a cryptocurrency asset, not a company"
105,The New York Times Company,2021-02-17,New York Times,NYT,,public,"S8E2; https://www.acquired.fm/episodes/the-new-york-times-company; NYT publicly traded on NYSE"
106,Meituan,2021-03-10,Meituan,MPNGY,,public,"S8E3; https://www.acquired.fm/episodes/meituan; primary listing 3690.HK, buying US unsponsored ADR MPNGY per US-listing preference"
107,Rec Room Part II (with CEO Nick Fajt),2021-03-23,Rec Room,,,skipped,"S8E4; https://www.acquired.fm/episodes/rec-room-part-ii-with-ceo-nick-fajt; Rec Room is privately held, no public parent"
108,Berkshire Hathaway Part I,2021-04-20,Berkshire Hathaway,BRK-B,,public,"S8E5; https://www.acquired.fm/episodes/berkshire-hathaway-part-i; Berkshire Hathaway publicly traded, using Class B shares"
109,Berkshire Hathaway Part II,2021-05-12,Berkshire Hathaway,BRK-B,,public,"S8E6; https://www.acquired.fm/episodes/berkshire-hathaway-part-ii; same subject as Part I"
110,Berkshire Hathaway Part III,2021-06-06,Berkshire Hathaway,BRK-B,,public,"S8E7; https://www.acquired.fm/episodes/berkshire-hathaway-part-iii; same subject as Parts I-II"
111,Ethereum,2021-07-05,,,,skipped,"S8E8; https://www.acquired.fm/episodes/ethereum; episode is about a cryptocurrency network, not a company"
112,Andreessen Horowitz Part I,2021-07-26,,,,skipped,"S9E1; https://www.acquired.fm/episodes/andreessen-horowitz-part-i; a16z is a privately held venture capital firm, no public parent"
113,Andreessen Horowitz Part II,2021-08-09,,,,skipped,"S9E2; https://www.acquired.fm/episodes/andreessen-horowitz-part-ii; same subject as Part I, privately held"
114,TSMC,2021-09-06,TSMC,TSM,,public,"S9E3; https://www.acquired.fm/episodes/tsmc; TSMC trades as US ADR under TSM"
115,Standard Oil Part I,2021-09-21,,,,skipped,"S9E4; https://www.acquired.fm/episodes/standard-oil-part-i; Standard Oil was broken up by antitrust action in 1911, no single surviving public entity to buy as of air date"
116,Standard Oil Part II,2021-10-18,,,,skipped,"S9E5; https://www.acquired.fm/episodes/standard-oil-part-ii; same subject as Part I, dissolved 1911, no single successor"
117,Not Boring (with Packy McCormick),2021-12-02,,,,skipped,"S9E6; https://www.acquired.fm/episodes/not-boring-with-packy-mccormick; episode is about a newsletter/writer (Packy McCormick), not a company"
118,FTX (with Sam Bankman-Fried & Mario Gabriele),2021-12-14,,,,skipped,"S9E7; https://www.acquired.fm/episodes/ftx-with-sam-bankman-fried-mario-gabriele; FTX was privately held at air date, no public parent (collapsed Nov 2022 while still private)"
119,CAA (with Michael Ovitz),2021-12-21,,,,skipped,"S9E8; https://www.acquired.fm/episodes/caa-with-michael-ovitz; Creative Artists Agency is privately held, no public parent"
120,Taylor Swift (Acquired’s Version),2022-01-23,,,,skipped,"S10E1; https://www.acquired.fm/episodes/taylor-swift-acquireds-version; episode is about a person/artist, not a company"
121,Peloton,2022-02-10,Peloton,PTON,,public,"S10E2; https://www.acquired.fm/episodes/peloton; Peloton publicly traded on NASDAQ"
122,SONY,2022-03-07,Sony,SONY,,public,"S10E3; https://www.acquired.fm/episodes/sony; Sony Group trades as US ADR under SONY"
123,Altimeter (with Brad Gerstner),2022-03-14,,,,skipped,"S10E4; https://www.acquired.fm/episodes/altimeter-with-brad-gerstner; Altimeter Capital is a privately held hedge/VC fund, no public parent"
124,Nvidia Part I: The GPU Company (1993-2006),2022-03-27,Nvidia,NVDA,,public,"S10E5; https://www.acquired.fm/episodes/nvidia-the-gpu-company-1993-2006; Nvidia publicly traded on NASDAQ"
125,Nvidia Part II: The Machine Learning Company (2006-2022),2022-04-20,Nvidia,NVDA,,public,"S10E6; https://www.acquired.fm/episodes/nvidia-the-machine-learning-company-2006-2022; same subject as Part I"
