ep_num,title,air_date,subject,ticker,parent,status,source_note
151,IKEA,2024-11-17,,,,,S15E3; https://www.acquired.fm/episodes/ikea
152,Mars Inc. (the chocolate story),2024-12-15,,,,,S15E4; https://www.acquired.fm/episodes/mars-inc-the-chocolate-story
153,TSMC Founder Morris Chang,2025-01-26,,,,,S16E1; https://www.acquired.fm/episodes/tsmc-founder-morris-chang
154,Rolex,2025-02-24,,,,,S16E2; https://www.acquired.fm/episodes/rolex (RSS pubDate 2026-03-04 appears to reflect a later re-upload; true air date confirmed via acquired.fm episode page)
155,Indian Premier League Cricket,2025-03-23,,,,,S16E3; https://www.acquired.fm/episodes/indian-premier-league-cricket
156,Epic Systems (MyChart),2025-04-20,,,,,S16E4; https://www.acquired.fm/episodes/epic-systems-mychart
157,The Steve Ballmer Interview,2025-06-01,,,,,S17E1; https://www.acquired.fm/episodes/the-steve-ballmer-interview
158,Google Part I: Origins of Search,2025-06-29,,,,,S17E2; https://www.acquired.fm/episodes/google
159,The Jamie Dimon Interview,2025-07-16,,,,,S17E3; https://www.acquired.fm/episodes/the-jamie-dimon-interview
160,Google Part II: Alphabet,2025-08-26,,,,,S17E4; https://www.acquired.fm/episodes/alphabet-inc
161,Google Part III: The AI Company,2025-10-05,,,,,S18E1; https://www.acquired.fm/episodes/google-the-ai-company
162,Trader Joe’s,2025-10-26,,,,,S18E2; https://www.acquired.fm/episodes/trader-joes
163,Coca-Cola,2025-11-23,,,,,S18E3; https://www.acquired.fm/episodes/coca-cola
164,10 Years of Acquired (with Michael Lewis),2025-12-14,,,,,S18E4; https://www.acquired.fm/episodes/10-years-of-acquired-with-michael-lewis
165,Formula 1,2026-03-02,,,,,S19E1; https://www.acquired.fm/episodes/formula-1
166,Ferrari,2026-04-12,,,,,S19E2; https://www.acquired.fm/episodes/ferrari
167,Vanguard,2026-05-17,,,,,S19E3; https://www.acquired.fm/episodes/vanguard
168,The Walt Disney Company,2026-06-21,,,,,S19E4; https://www.acquired.fm/episodes/the-walt-disney-company
169,Disney: The Renaissance and the Empire,2026-08-09,,,,,S20E1; https://www.acquired.fm/episodes/disney-the-renaissance-and-the-empire
