ep_num,title,air_date,subject,ticker,parent,status,source_note
26,The Amazon IPO with original Amazon Board Member Tom Alberg,2016-12-31,,,,,S1E28; https://www.acquired.fm/episodes/episode-28-the-amazon-ipo-with-original-amazon-board-member-tom-alberg
27,P.A. Semi + AuthenTec,2017-01-24,,,,,S1E30; https://www.acquired.fm/episodes/episode-30-pa-semi-authentec
28,"The Uber - Didi Chuxing Merger with Brad Stone, author of The Upstarts & The Everything Store",2017-02-28,,,,,S1E31; https://www.acquired.fm/episodes/episode-31-the-uber-didi-chuxing-merger-with-brad-stone-author-of-the-upstarts-the-everything-store
29,The Snap Inc. IPO,2017-03-04,,,,,S1E32; https://www.acquired.fm/episodes/episode-32-the-snap-inc-ipo
30,Overture (with the Internet History Podcast!),2017-03-13,,,,,S1E33; https://www.acquired.fm/episodes/episode-33-overture-with-the-internet-history-podcast
31,The Starbucks IPO with Dan Levitan,2017-04-03,,,,,S1E34; https://www.acquired.fm/episodes/episode-34-starbucks-ipo-with-dan-levitan
32,Oculus,2017-04-11,,,,,S1E35; https://www.acquired.fm/episodes/episode-35-oculus
33,The LA Clippers,2017-04-23,,,,,S1E36; https://www.acquired.fm/episodes/episode-36-the-la-clippers
34,"BAMTech, Disney and ""the Biggest Media Company You've Never Heard Of”",2017-05-10,,,,,S1E37; https://www.acquired.fm/episodes/episode-37-bamtech-disney-and-the-biggest-media-company-youve-never-heard-of
35,SoundJam (iTunes),2017-05-31,,,,,S1E38; https://www.acquired.fm/episodes/episode-38-soundjam-itunes
36,Whole Foods Market,2017-06-20,,,,,S1E39; https://www.acquired.fm/episodes/episode-39-whole-foods-market
37,Activision Blizzard,2017-07-12,,,,,S1E40; https://www.acquired.fm/episodes/episode-40-activision-blizzard
38,Booking.com with Jetsetter & Room 77 CEO Drew Patterson,2017-07-25,,,,,S1E41; https://www.acquired.fm/episodes/episode-41-bookingcom-with-jetsetter-room-77-ceo-drew-patterson
39,Opsware (with Michel Feaster),2017-08-04,,,,,S1E42; https://www.acquired.fm/episodes/episode-42-opsware-with-special-guest-michel-feaster
40,The Square IPO,2017-08-16,,,,,S1E43; https://www.acquired.fm/episodes/the-uber-ipo
41,AOL and Time Warner (with the Internet History Podcast),2017-09-17,,,,,S1E44; https://www.acquired.fm/episodes/episode-44-aol-time-warner-with-the-internet-history-podcast
42,"HTC, Google and the Future of Mobile",2017-09-21,,,,,S1E45; https://www.acquired.fm/episodes/episode-45-htc-google-and-the-future-of-mobile
43,Blue Bottle Coffee,2017-10-07,,,,,S1E46; https://www.acquired.fm/episodes/blue-bottle-coffee
44,The Atlassian IPO,2017-11-06,,,,,S1E47; https://www.acquired.fm/episodes/the-atlassian-ipo
45,Qualcomm - Broadcom,2017-11-20,,,,,S1E48; https://www.acquired.fm/episodes/qualcomm-broadcom
46,The Stitch Fix IPO,2017-12-04,,,,,S1E49; https://www.acquired.fm/episodes/the-stitch-fix-ipo
47,Apple - Beats,2017-12-11,,,,,S1E50; https://www.acquired.fm/episodes/episode-50-apple-beats
48,Zappos (with Alfred Lin),2018-01-22,,,,,S2E1; https://www.acquired.fm/episodes/season-2-episode-1zappos-with-alfred-lin
49,Raising a Seed Round with Against Gravity CEO Nick Fajt,2018-02-06,,,,,S2E2; https://www.acquired.fm/episodes/season-2-episode-2raising-a-seed-round-with-against-gravity-ceo-nick-fajt
50,Nest,2018-02-19,,,,,S2E3; https://www.acquired.fm/episodes/season-2-episode-3nest
