ep_num,title,air_date,subject,ticker,parent,status,source_note
76,The Slack DPO,2019-06-24,,,,,S4E9; https://www.acquired.fm/episodes/the-slack-dpo
77,Superhuman (with CEO Rahul Vohra),2019-06-27,,,,,S4E10; https://www.acquired.fm/episodes/superhuman
78,Huawei,2019-07-22,,,,,S5E1; https://www.acquired.fm/episodes/huawei
79,The Shopify IPO,2019-08-06,,,,,S5E2; https://www.acquired.fm/episodes/the-shopify-ipo
80,Google Maps,2019-08-26,,,,,S5E3; https://www.acquired.fm/episodes/google-maps
81,Sequoia Capital (Part 1),2019-09-26,,,,,S5E4; https://www.acquired.fm/episodes/sequoia-capital-part-1
82,Atari (with Nolan Bushnell),2019-10-15,,,,,S5E5; https://www.acquired.fm/episodes/atari-with-nolan-bushnell
83,The WeWork “Acquisition” (with Dan Primack),2019-10-24,,,,,S5E6; https://www.acquired.fm/episodes/the-wework-acquisition-with-dan-primack
84,"Disney, Plus",2019-11-25,,,,,S5E7; https://www.acquired.fm/episodes/disney-plus
85,TikTok,2019-12-08,,,,,S5E8; https://www.acquired.fm/episodes/tiktok
86,Convoy (with CEO Dan Lewis),2019-12-19,,,,,S5E9; https://www.acquired.fm/episodes/convoy-with-ceo-dan-lewis
87,The Lean Startup and the Long-Term Stock Exchange (with Eric Ries),2019-12-29,,,,,S5E10; https://www.acquired.fm/episodes/season-5-episode-10-the-lean-startup-and-the-long-term-stock-exchange-with-eric-ries
88,WhatsApp,2020-01-28,,,,,S6E1; https://www.acquired.fm/episodes/whatsapp
89,Sequoia Capital Part II (with Doug Leone),2020-02-17,,,,,S6E2; https://www.acquired.fm/episodes/sequoia-capital-part-ii-with-doug-leone
90,The Top 10 Acquisitions of All-Time,2020-03-17,,,,,S6E3; https://www.acquired.fm/episodes/acquired-top-ten-the-best-acquisitions-of-all-time
91,Adapting Episode 1: Canlis,2020-03-20,,,,,S6E4; https://www.acquired.fm/episodes/adapting-episode-3-intel
92,Adapting Episode 2: Sequoia’s Black Swan Memo (with Roelof Botha),2020-03-30,,,,,S6E5; https://www.acquired.fm/episodes/sequoias-black-swan-memo
93,Adapting Episode 3: Intel,2020-05-11,,,,,S6E6; https://www.acquired.fm/episodes/adapting-episode-3-intel
94,SpaceX,2020-05-26,,,,,S6E7; https://www.acquired.fm/episodes/spacex
95,Oprah (Harpo Studios),2020-06-25,,,,,S6E8; https://www.acquired.fm/episodes/oprah-harpo-studios
96,Pinduoduo,2020-07-16,,,,,S7E1; https://www.acquired.fm/episodes/pinduoduo
97,Eventbrite (with Julia & Kevin Hartz),2020-08-25,,,,,S7E2; https://www.acquired.fm/episodes/eventbrite
98,Epic Games,2020-09-01,,,,,S7E3; https://www.acquired.fm/episodes/epic-games
99,The NBA,2020-09-30,,,,,S7E4; https://www.acquired.fm/episodes/the-nba
100,Twitter (with Dick Costolo),2020-10-28,,,,,S7E5; https://www.acquired.fm/episodes/twitter-with-dick-costolo
