ep_num,title,air_date,subject,ticker,parent,status,source_note
51,"SoftBank, Fortress and the Vision Fund",2018-03-22,SoftBank,SFTBY,,public,"S2E4; https://www.acquired.fm/episodes/season-2-episode-4softbank-fortress-and-the-vision-fund; SoftBank Group traded publicly on Tokyo Stock Exchange throughout episode period, US OTC ADR SFTBY"
52,The Dropbox IPO,2018-03-25,Dropbox,DBX,,public,"S2E5; https://www.acquired.fm/episodes/the-uber-ipo; Dropbox IPO'd 2018-03-23 on Nasdaq, already public by air date"
53,Spotify’s Direct Listing,2018-04-05,Spotify,SPOT,,public,"S2E6; https://www.acquired.fm/episodes/season-2-episode-6spotifys-direct-listing; Spotify direct-listed on NYSE 2018-04-03, public by air date"
54,PowerPoint,2018-05-04,PowerPoint (Forethought),MSFT,Microsoft,parent,"S2E7; https://www.acquired.fm/episodes/season-2-episode-7powerpoint; PowerPoint's creator Forethought acquired by Microsoft in 1987, public parent MSFT"
55,T-Mobile / Sprint,2018-05-21,T-Mobile,TMUS,,public,"S2E8; https://www.acquired.fm/episodes/season-2-episode-8t-mobile-sprint; episode covers T-Mobile/Sprint merger, T-Mobile US is the public surviving entity, ticker TMUS (uncertain: episode also covers Sprint, itself public until acquired by T-Mobile in 2020)"
56,GitHub,2018-06-05,GitHub,,,skipped,"S2E9; https://www.acquired.fm/episodes/season-2-episode-9github; Microsoft-GitHub deal announced 2018-06-04 but did not close until 2018-10-26, so GitHub was still private/independent on air date (uncertain: could argue announced deal should count as parent=MSFT)"
57,The Rover-DogVacay Merger (with Rover CEO Aaron Easterly),2018-06-17,Rover,,,skipped,"S2E10; https://www.acquired.fm/episodes/season-2-episode-10the-rover-dogvacay-merger-with-rover-ceo-aaron-easterly; Rover and DogVacay both private companies, no public parent"
58,Tesla,2018-07-16,Tesla,TSLA,,public,"S3E1; https://www.acquired.fm/episodes/the-slack-dpo; Tesla publicly traded on Nasdaq since 2010 IPO"
59,The Xiaomi IPO,2018-08-05,Xiaomi,XIACY,,public,"S3E2; https://www.acquired.fm/episodes/the-shopify-ipo; Xiaomi IPO'd 2018-07-09 on HKEX (1810.HK), public by air date; using US OTC ADR XIACY per US-listing preference"
60,The Sonos IPO,2018-08-20,Sonos,SONO,,public,"S3E3; https://www.acquired.fm/episodes/the-shopify-ipo; Sonos IPO'd 2018-08-02 on Nasdaq, public by air date"
61,Recode (with Kara Swisher),2018-09-10,Recode,,,skipped,"S3E4; https://www.acquired.fm/episodes/season-3-episode-4recode-with-kara-swisher; Recode merged into Vox Media in 2015, Vox Media is private, no public parent"
62,Alibaba,2018-09-23,Alibaba,BABA,,public,"S3E5; https://www.acquired.fm/episodes/alibaba; Alibaba publicly traded on NYSE since 2014 IPO"
63,Behance (with Scott Belsky),2018-10-01,Behance,ADBE,Adobe,parent,"S3E6; https://www.acquired.fm/episodes/behance-with-scott-belsky; Behance acquired by Adobe Dec 2012, public parent ADBE"
64,Venmo (live with Andrew Kortina),2018-10-29,Venmo,PYPL,PayPal Holdings,parent,"S3E7; https://www.acquired.fm/episodes/season-3-episode-7-venmo-sf-live-show-with-andrew-kortina; Venmo acquired by Braintree 2012, Braintree acquired by PayPal (then under eBay) 2013, PayPal spun off from eBay as public PYPL 2015-07-20; Venmo under public parent PYPL by air date"
65,Netflix (Part 1),2018-11-11,Netflix,NFLX,,public,"S3E8; https://www.acquired.fm/episodes/netflix-part-1; Netflix publicly traded on Nasdaq since 2002 IPO"
66,Netflix (Part 2),2018-11-25,Netflix,NFLX,,public,"S3E9; https://www.acquired.fm/episodes/netflix-part-2; same as Part 1, multi-part episode"
67,Tencent,2018-12-16,Tencent,TCEHY,,public,"S3E10; https://www.acquired.fm/episodes/season-3-episode-10-tencent; Tencent publicly traded on HKEX (700.HK) since 2004, using US OTC ADR TCEHY"
68,ESPN,2019-01-21,ESPN,DIS,Walt Disney Company,parent,"S4E1; https://www.acquired.fm/episodes/season-4-episode-1-espn; ESPN 80% owned by Disney (20% Hearst) since 1990s, public parent DIS"
69,ARM & SoftBank,2019-02-03,ARM Holdings,SFTBY,SoftBank Group,parent,"S4E2; https://www.acquired.fm/episodes/arm-softbank; ARM Holdings acquired by SoftBank 2016 for $32B, public parent SFTBY; ARM later IPO'd on Nasdaq 2023-09-14 but SoftBank retained ~90% stake, not treated as full divestiture (uncertain judgment call, no divest event recorded)"
70,Instagram Revisited (with Emily White),2019-02-25,Instagram,META,Meta Platforms (Facebook),parent,"S4E3; https://www.acquired.fm/episodes/instagram-revisited-with-emily-white; Instagram acquired by Facebook 2012, public parent now META (renamed from FB 2021)"
71,The Lyft IPO,2019-03-30,Lyft,LYFT,,public,"S4E4; https://www.acquired.fm/episodes/the-uber-ipo; Lyft IPO'd 2019-03-29 on Nasdaq, public by air date (air date is Saturday, buy at next close per rules)"
