ep_num,title,air_date,subject,ticker,parent,status,source_note
151,IKEA,2024-11-17,IKEA,,,skipped,"S15E3; https://www.acquired.fm/episodes/ikea; private, owned by INGKA/Interogo foundations (nonprofit structure), no public parent"
152,Mars Inc. (the chocolate story),2024-12-15,Mars Inc.,,,skipped,"S15E4; https://www.acquired.fm/episodes/mars-inc-the-chocolate-story; privately held by the Mars family, no public parent"
153,TSMC Founder Morris Chang,2025-01-26,TSMC,TSM,,public,"S16E1; https://www.acquired.fm/episodes/tsmc-founder-morris-chang; episode about TSMC founder; TSMC publicly traded, US ADR ticker TSM"
154,Rolex,2025-02-24,Rolex,,,skipped,"S16E2; https://www.acquired.fm/episodes/rolex (RSS pubDate 2026-03-04 appears to reflect a later re-upload; true air date confirmed via acquired.fm episode page); owned by Hans Wilsdorf Foundation (private charitable trust), no public parent"
155,Indian Premier League Cricket,2025-03-23,Indian Premier League,,,skipped,"S16E3; https://www.acquired.fm/episodes/indian-premier-league-cricket; IPL is a league run by BCCI, not a single company with public equity; not a company/stock"
156,Epic Systems (MyChart),2025-04-20,Epic Systems,,,skipped,"S16E4; https://www.acquired.fm/episodes/epic-systems-mychart; privately held, majority owned by founder Judy Faulkner, never IPO'd, no public parent"
157,The Steve Ballmer Interview,2025-06-01,,,,skipped,"S17E1; https://www.acquired.fm/episodes/the-steve-ballmer-interview; interview with a person, not about a specific company"
158,Google Part I: Origins of Search,2025-06-29,Google,GOOGL,Alphabet Inc.,parent,"S17E2; https://www.acquired.fm/episodes/google; Google is a wholly-owned subsidiary of public parent Alphabet Inc. (reorganized 2015), buy GOOGL"
159,The Jamie Dimon Interview,2025-07-16,,,,skipped,"S17E3; https://www.acquired.fm/episodes/the-jamie-dimon-interview; interview with a person, not about a specific company"
160,Google Part II: Alphabet,2025-08-26,Alphabet,GOOGL,,public,"S17E4; https://www.acquired.fm/episodes/alphabet-inc; episode about Alphabet Inc. itself, publicly traded holding company, ticker GOOGL"
161,Google Part III: The AI Company,2025-10-05,Alphabet,GOOGL,,public,"S18E1; https://www.acquired.fm/episodes/google-the-ai-company; continuation of Alphabet story covering Google's AI strategy (Gemini/DeepMind) under public Alphabet Inc., ticker GOOGL"
162,Trader Joe's,2025-10-26,Trader Joe's,,,skipped,"S18E2; https://www.acquired.fm/episodes/trader-joes; privately owned by Aldi Nord family foundations (Albrecht family), no public parent"
163,Coca-Cola,2025-11-23,Coca-Cola,KO,,public,"S18E3; https://www.acquired.fm/episodes/coca-cola; The Coca-Cola Company publicly traded, ticker KO"
164,10 Years of Acquired (with Michael Lewis),2025-12-14,,,,skipped,"S18E4; https://www.acquired.fm/episodes/10-years-of-acquired-with-michael-lewis; retrospective/interview episode, not about a single company"
165,Formula 1,2026-03-02,Formula 1,FWONK,Liberty Media Corporation (Formula One Group),parent,"S19E1; https://www.acquired.fm/episodes/formula-1; F1 owned by Liberty Media's Formula One Group tracking stock, publicly traded, buy FWONK"
166,Ferrari,2026-04-12,Ferrari,RACE,,public,"S19E2; https://www.acquired.fm/episodes/ferrari; Ferrari N.V. publicly traded on NYSE, ticker RACE"
167,Vanguard,2026-05-17,Vanguard,,,skipped,"S19E3; https://www.acquired.fm/episodes/vanguard; Vanguard is owned by its funds/investors (mutual structure), not publicly traded, no public parent"
168,The Walt Disney Company,2026-06-21,Walt Disney Company,DIS,,public,"S19E4; https://www.acquired.fm/episodes/the-walt-disney-company; The Walt Disney Company publicly traded, ticker DIS"
169,Disney: The Renaissance and the Empire,2026-08-09,Walt Disney Company,DIS,,public,"S20E1; https://www.acquired.fm/episodes/disney-the-renaissance-and-the-empire; continuation of Disney story, publicly traded, ticker DIS"
