ep_num,title,air_date,subject,ticker,parent,status,source_note
26,The Amazon IPO with original Amazon Board Member Tom Alberg,2016-12-31,Amazon,AMZN,,public,"S1E28; https://www.acquired.fm/episodes/episode-28-the-amazon-ipo-with-original-amazon-board-member-tom-alberg; Amazon publicly traded since 1997 IPO, ticker AMZN throughout"
27,P.A. Semi + AuthenTec,2017-01-24,P.A. Semi / AuthenTec,AAPL,Apple Inc,parent,"S1E30; https://www.acquired.fm/episodes/episode-30-pa-semi-authentec; P.A. Semi acquired by Apple 2008, AuthenTec acquired by Apple 2012, both private-to-Apple deals; public parent AAPL"
28,"The Uber - Didi Chuxing Merger with Brad Stone, author of The Upstarts & The Everything Store",2017-02-28,Uber / Didi Chuxing,,,skipped,"S1E31; https://www.acquired.fm/episodes/episode-31-the-uber-didi-chuxing-merger-with-brad-stone-author-of-the-upstarts-the-everything-store; both Uber and Didi Chuxing were private on air date (Uber IPO 2019), no public parent"
29,The Snap Inc. IPO,2017-03-04,Snap Inc.,SNAP,,public,"S1E32; https://www.acquired.fm/episodes/episode-32-the-snap-inc-ipo; Snap IPO'd 2017-03-02, already public two days before air date"
30,Overture (with the Internet History Podcast!),2017-03-13,Overture Services,YHOO,Yahoo! Inc,parent,"S1E33; https://www.acquired.fm/episodes/episode-33-overture-with-the-internet-history-podcast; Overture acquired by Yahoo 2003; Yahoo still independent public co (YHOO) on air date, later renamed Altaba after selling ops to Verizon June 2017"
31,The Starbucks IPO with Dan Levitan,2017-04-03,Starbucks,SBUX,,public,"S1E34; https://www.acquired.fm/episodes/episode-34-starbucks-ipo-with-dan-levitan; Starbucks public since 1992 IPO"
32,Oculus,2017-04-11,Oculus VR,META,Meta Platforms,parent,"S1E35; https://www.acquired.fm/episodes/episode-35-oculus; Oculus acquired by Facebook 2014; ticker FB renamed META in 2022, use current symbol"
33,The LA Clippers,2017-04-23,LA Clippers,,,skipped,"S1E36; https://www.acquired.fm/episodes/episode-36-the-la-clippers; NBA team privately owned by Steve Ballmer since 2014, no public parent"
34,"BAMTech, Disney and ""the Biggest Media Company You've Never Heard Of”",2017-05-10,BAMTech,,,skipped,"S1E37; https://www.acquired.fm/episodes/episode-37-bamtech-disney-and-the-biggest-media-company-youve-never-heard-of; Disney held only a 33% minority stake at air date (bought Aug 2016); majority owned by MLB Advanced Media, a private league entity, so not yet acquired by a public parent"
35,SoundJam (iTunes),2017-05-31,SoundJam MP,AAPL,Apple Inc,parent,"S1E38; https://www.acquired.fm/episodes/episode-38-soundjam-itunes; SoundJam MP acquired by Apple 2000, became iTunes; public parent AAPL"
36,Whole Foods Market,2017-06-20,Whole Foods Market,WFM,,public,"S1E39; https://www.acquired.fm/episodes/episode-39-whole-foods-market; Amazon deal announced 2017-06-16 but not yet closed on air date; Whole Foods still independent public company (closed 2017-08-28)"
37,Activision Blizzard,2017-07-12,Activision Blizzard,ATVI,,public,"S1E40; https://www.acquired.fm/episodes/episode-40-activision-blizzard; public since Activision/Vivendi Games merger 2008, ticker ATVI until Microsoft buyout closed 2023"
38,Booking.com with Jetsetter & Room 77 CEO Drew Patterson,2017-07-25,Booking.com,BKNG,Booking Holdings (Priceline Group),parent,"S1E41; https://www.acquired.fm/episodes/episode-41-bookingcom-with-jetsetter-room-77-ceo-drew-patterson; Booking.com is a subsidiary of Priceline Group, renamed Booking Holdings 2018; ticker PCLN renamed BKNG"
39,Opsware (with Michel Feaster),2017-08-04,Opsware,HPE,Hewlett Packard Enterprise,parent,"S1E42; https://www.acquired.fm/episodes/episode-42-opsware-with-special-guest-michel-feaster; Opsware acquired by HP 2007 for cash; HP split 2015 into HPQ/HPE, former Opsware software business remained with HPE until spin-merger with Micro Focus closed 2017-09-01"
40,The Square IPO,2017-08-16,Square Inc.,XYZ,,public,"S1E43; https://www.acquired.fm/episodes/the-uber-ipo; Square IPO'd Nov 2015, already public; renamed Block Inc., ticker SQ changed to XYZ Dec 2021, use current symbol"
41,AOL and Time Warner (with the Internet History Podcast),2017-09-17,AOL,VZ,Verizon Communications,parent,"S1E44; https://www.acquired.fm/episodes/episode-44-aol-time-warner-with-the-internet-history-podcast; AOL spun off from Time Warner 2009 then acquired by Verizon 2015 for cash; public parent VZ on air date"
42,"HTC, Google and the Future of Mobile",2017-09-21,HTC Corporation,2498.TW,,public,"S1E45; https://www.acquired.fm/episodes/episode-45-htc-google-and-the-future-of-mobile; Google's Sept 2017 deal (announced day before air date) only acquired HTC's Pixel design team/license for $1.1B, not the whole company; HTC Corp remained independent, Taiwan-listed (TWSE:2498), no US ADR"
43,Blue Bottle Coffee,2017-10-07,Blue Bottle Coffee,NSRGY,Nestle S.A.,parent,"S1E46; https://www.acquired.fm/episodes/blue-bottle-coffee; Nestle acquired majority (~68%) stake in Blue Bottle Sept 2017, before air date; public parent Nestle, US OTC ADR NSRGY"
44,The Atlassian IPO,2017-11-06,Atlassian,TEAM,,public,"S1E47; https://www.acquired.fm/episodes/the-atlassian-ipo; Atlassian IPO'd Dec 2015, already public"
45,Qualcomm - Broadcom,2017-11-20,Qualcomm,QCOM,,public,"S1E48; https://www.acquired.fm/episodes/qualcomm-broadcom; Broadcom's hostile takeover bid announced Nov 2017; Qualcomm remained independent public company, deal later blocked by US government March 2018 and never closed"
46,The Stitch Fix IPO,2017-12-04,Stitch Fix,SFIX,,public,"S1E49; https://www.acquired.fm/episodes/the-stitch-fix-ipo; Stitch Fix IPO'd 2017-11-17, before air date"
