ep_num,title,air_date,subject,ticker,parent,status,source_note
1,Pixar,2015-10-15,,,,,S1E1; https://www.acquired.fm/episodes/episode-1-pixar
2,Instagram,2015-11-01,,,,,S1E2; https://www.acquired.fm/episodes/episode-2-instagram
3,Twitch,2015-11-16,,,,,S1E3; https://www.acquired.fm/episodes/episode-3-twitch
4,Bungie (with Xbox Co-Founder Ed Fries),2015-11-30,,,,,S1E4; https://www.acquired.fm/episodes/episode-4-bungie
5,Siri,2015-12-14,,,,,S1E5; https://www.acquired.fm/episodes/episode-5-siri
6,Lucasfilm,2016-01-19,,,,,S1E6; https://www.acquired.fm/episodes/episode-6-lucasfilm
7,YouTube,2016-02-03,,,,,S1E7; https://www.acquired.fm/episodes/episode-7-youtube
8,"Acompli, Sunrise, and Wunderlist (with Kurt DelBene)",2016-02-29,,,,,S1E8; https://www.acquired.fm/episodes/episode-8-acompli-sunrise-and-wunderlist
9,Writely (Google Docs),2016-03-29,,,,,S1E9; https://www.acquired.fm/episodes/episode-9-writely-google-docs
10,Virgin America,2016-04-26,,,,,S1E10; https://www.acquired.fm/episodes/episode-10-virgin-america
11,PayPal,2016-05-08,,,,,S1E11; https://www.acquired.fm/episodes/episode-11-paypal
12,Snapchat,2016-05-22,,,,,S1E12; https://www.acquired.fm/episodes/episode-12-snapchat
13,Push Pop Press (Facebook Instant Articles) with Todd Bishop,2016-06-05,,,,,S1E13; https://www.acquired.fm/episodes/episode-13-push-pop-press-facebook-instant-articles-with-todd-bishop
14,LinkedIn,2016-06-16,,,,,S1E14; https://www.acquired.fm/episodes/episode-14-linkedin
15,ExactTarget (acquired by Salesforce) with Scott Dorsey,2016-07-05,,,,,S1E15; https://www.acquired.fm/episodes/acquired-episode-15-exacttarget-acquired-by-salesforce-with-scott-dorsey
16,Midroll + Stitcher (acquired by Scripps),2016-07-12,,,,,S1E16; https://www.acquired.fm/episodes/acquired-episode-16-midroll-stitcher-acquired-by-scripps
17,Waze,2016-08-03,,,,,S1E17; https://www.acquired.fm/episodes/acquired-episode-17-waze
18,Jet,2016-08-29,,,,,S1E19; https://www.acquired.fm/episodes/meta
19,Android,2016-09-16,,,,,S1E20; https://www.acquired.fm/episodes/episode-20-android
20,Inside the M&A Press with Bloomberg's Alex Sherman,2016-09-27,,,,,S1E21; https://www.acquired.fm/episodes/episode-21-inside-the-ma-press-with-bloombergs-alex-sherman
21,Zillow + Trulia (with Zillow Group CFO Kathleen Philips),2016-10-13,,,,,S1E22; https://www.acquired.fm/episodes/episode-22-zillow-trulia-with-zillow-group-cfo-kathleen-philips
22,NeXT (Live show at the GeekWire Summit),2016-10-23,,,,,S1E23; https://www.acquired.fm/episodes/episode-23-next-live-show-at-the-geekwire-summit
23,Skype,2016-11-01,,,,,S1E24; https://www.acquired.fm/episodes/episode-24-skype
24,The Facebook IPO,2016-11-11,,,,,S1E25; https://www.acquired.fm/episodes/episode-25-the-facebook-ipo
25,Marvel,2016-12-05,,,,,S1E26; https://www.acquired.fm/episodes/episode-25-marvel
