ep_num,title,air_date,subject,ticker,parent,status,source_note
101,Virgin Galactic,2020-11-22,,,,,S7E6; https://www.acquired.fm/episodes/virgin-galactic
102,DoorDash,2020-12-09,,,,,S7E7; https://www.acquired.fm/episodes/doordash
103,Airbnb,2020-12-10,,,,,S7E8; https://www.acquired.fm/episodes/airbnb
104,Bitcoin,2021-01-18,,,,,S8E1; https://www.acquired.fm/episodes/bitcoin
105,The New York Times Company,2021-02-17,,,,,S8E2; https://www.acquired.fm/episodes/the-new-york-times-company
106,Meituan,2021-03-10,,,,,S8E3; https://www.acquired.fm/episodes/meituan
107,Rec Room Part II (with CEO Nick Fajt),2021-03-23,,,,,S8E4; https://www.acquired.fm/episodes/rec-room-part-ii-with-ceo-nick-fajt
108,Berkshire Hathaway Part I,2021-04-20,,,,,S8E5; https://www.acquired.fm/episodes/berkshire-hathaway-part-i
109,Berkshire Hathaway Part II,2021-05-12,,,,,S8E6; https://www.acquired.fm/episodes/berkshire-hathaway-part-ii
110,Berkshire Hathaway Part III,2021-06-06,,,,,S8E7; https://www.acquired.fm/episodes/berkshire-hathaway-part-iii
111,Ethereum,2021-07-05,,,,,S8E8; https://www.acquired.fm/episodes/ethereum
112,Andreessen Horowitz Part I,2021-07-26,,,,,S9E1; https://www.acquired.fm/episodes/andreessen-horowitz-part-i
113,Andreessen Horowitz Part II,2021-08-09,,,,,S9E2; https://www.acquired.fm/episodes/andreessen-horowitz-part-ii
114,TSMC,2021-09-06,,,,,S9E3; https://www.acquired.fm/episodes/tsmc
115,Standard Oil Part I,2021-09-21,,,,,S9E4; https://www.acquired.fm/episodes/standard-oil-part-i
116,Standard Oil Part II,2021-10-18,,,,,S9E5; https://www.acquired.fm/episodes/standard-oil-part-ii
117,Not Boring (with Packy McCormick),2021-12-02,,,,,S9E6; https://www.acquired.fm/episodes/not-boring-with-packy-mccormick
118,FTX (with Sam Bankman-Fried & Mario Gabriele),2021-12-14,,,,,S9E7; https://www.acquired.fm/episodes/ftx-with-sam-bankman-fried-mario-gabriele
119,CAA (with Michael Ovitz),2021-12-21,,,,,S9E8; https://www.acquired.fm/episodes/caa-with-michael-ovitz
120,Taylor Swift (Acquired’s Version),2022-01-23,,,,,S10E1; https://www.acquired.fm/episodes/taylor-swift-acquireds-version
121,Peloton,2022-02-10,,,,,S10E2; https://www.acquired.fm/episodes/peloton
122,SONY,2022-03-07,,,,,S10E3; https://www.acquired.fm/episodes/sony
123,Altimeter (with Brad Gerstner),2022-03-14,,,,,S10E4; https://www.acquired.fm/episodes/altimeter-with-brad-gerstner
124,Nvidia Part I: The GPU Company (1993-2006),2022-03-27,,,,,S10E5; https://www.acquired.fm/episodes/nvidia-the-gpu-company-1993-2006
125,Nvidia Part II: The Machine Learning Company (2006-2022),2022-04-20,,,,,S10E6; https://www.acquired.fm/episodes/nvidia-the-machine-learning-company-2006-2022
